G250	-
H2	mꜣꜥ,pꜣḳ,pḳ,wšm
H3	pꜣḳ,pḳ
H4	nr,rm,rmṯ
H5	ḏnḥ,pꜣỉ
H6	mꜣꜥt,šw
H6A	mꜣꜥt,šw
H8	mrwt,sꜣ,swḥt
H16	ỉmꜣḫ,mꜣꜣ
H19	pꜣḳt,pꜣḳ,pḳ,ꜥbꜥ
H31	mḥ,nỉꜣ
HSZ350	dm
I1	ꜥšꜣ
I2	štyw
I3	ꜣd,ỉt,msḥ,mzḥ,ḫntỉ
I5	sꜣḳ,sbk
I5A	sꜣḳ,sbk
I6	km
I8	ḥfn
I9	f,ỉt
I10	d,ḏ,ḏt
I12	ỉꜥrt,nsrt
I13	Wꜣḏyt
I14	ḥfꜣw,r,bꜣ
I80A	r,s
I86A	ḥfꜣw,r,bꜣ,ꜥꜣpp
K1	ỉn
K2	bw
K4	ẖꜣ
K5	bs,bz,rmw
L1	ḫpr
L2	bỉt
L5	spꜣ
M1	ỉꜣm,ỉm,ỉmꜣ,nbs,nht
M1A	ỉꜣm,ỉm,ỉmꜣ,nbs,nht
M2	ḥn,ḥrrt,ỉ,ỉs
M3	ḏꜥ,ḫt
M4	rnp,rnpt,tr
M6	rỉ,tỉ,tr
M8	ꜣḫt,šꜣ
M9	sšn,zšn
M11	wdn
M12	ḫꜣ
M13	wꜣḏ
M14	wꜣḏ
M15	ꜣḫ,ḏyt,mḥw,wꜣḫ
M16	ḥꜣ,mḥw
M17	ỉ
M18	ỉỉ
M20	sm,sḫt
M22	n,nḫb,nḫbt
M23	sw
M27	šmꜥ
M29	nḏm
M30	bnr
M32	rd
M33	ỉt
M34	bdt,btỉ
M35	ꜥḥꜥw
M36	ḏr
M40	ỉs,ỉz
M43	ỉrp,spd
M44	spd,srt
M111	ḫ,ḫꜣ,srpt
N1	ḥr,pt
N2	grḥ,kkw
N4	ỉꜣdt,ỉdt,šnyt
N5	hrw,rꜥ,sw,wnwt,zw
N6	rꜥ
N8	ꜣḫw,ḥnmmt,psḏ
N9	psḏ,pzḏ
N11	ꜣbd,ỉꜥḥ,šsp
N12	ỉꜥḥ
N14	dwꜣ,sbꜣ,wnwt
N15	dꜣt,dwꜣt
N16	ḏt,tꜣ
N18	ꜥḫt,dꜣỉw,ỉw
N19	ꜣḫty
N21	ỉdb,wḏb
N23	tꜣ
N24	ḥsp,spꜣt,tꜣ-wr
N25	ḫꜣst
N26	ḏw
N27	ꜣḫt
N28	ḫꜥ
N29	ḳ,ḳꜣꜣ
N30	ỉꜣt
N31	ḥr,mṯn,wꜥ,wꜣt
N33	msdmt,nbw,šꜥỉ
N33A	3,msdmt,nbw,šꜥỉ
N34	bỉꜣ,ḥmt
N35	n,nt
N37	š,sn
N40	šm
N41	bỉꜣ,ḥm,ỉd,ỉdt
N46	grḥ,kkw
N62A	ỉꜥḥ
N64	ꜣbd,ꜣbd+sbꜣ
N77	ḳmꜣ+ḫꜣst
NL13	ḥḳꜣ-rḏ,ḥkꜣ-ꜣt
O1	p,pr
O4	h
O5	mr,mrrt,nm
O6	ḥtt,ḥwt
O8	ḥwt-ꜥꜣt
O9	nbt-ḥwt
O11	ꜥḥ
O12	ꜥḥ
O17	tꜣ,tꜣyt
O19	ỉtrt,pr-wr
O22	ḥꜣb,sḥ,zḥ,ꜥrḳ
O24	mr,mḥr
O25	tḫn,mn
O26	ꜥḥꜥw,wḏ
O28	ỉwn
O29	ꜥ,ꜥꜣ
O30	sḫnt,zḫnt
O31	ꜥꜣ,wn
O33	srḫ
O34	s,z
O35	ỉs,ỉz,sb,zb
O36	ỉnb
O37	gsꜣ,sẖnn,whn
O38	ꜥrrt,ḳnbt,tm
O39	ỉnr
O40	rwd
O42	šsp,šzp
O44	ỉꜣt
O45	ỉpꜣt,ỉpt
O47	nḫn
O49	nỉwt
O51	šnwt
O70	prt-ḫrw,pr+ḫrw
P1	ꜥḥꜥw,dpt,ỉmw
P1A	pnꜥ
P3	ḏꜣỉ,ḏꜣ,nšmt,wỉꜣ
P4	wḥꜥ
P5	nfw,ṯꜣw
P6	ꜥḥꜥ
P7	ꜥḥꜥ
P8	wsr,ḫrw
P10	ḥmw
P11	mnỉt
Q1	ꜣs,ḥtm,st,ws,wz
Q3	p
Q6	ḳrs,ḳrsw
Q7	nsr,psỉ,ps,srf,tꜣ,ḫt
R1E	ḫꜣwt,ḫꜣyt
R2	ḫꜣwt,ḫꜣyt
R4	ḥtp
R5	kꜣp,kp
R8	nṯr
R8A	nṯrw
R11	dd,ḏd
R13	ỉmnt
R14	ỉmnt,wnmỉ
R15	ꜣb,ỉꜣb
R17	tꜣ-wr
R19	wꜣs,wꜣst
R20	sšꜣt
R22	mnw,ḫm
R24	nỉt,nrt,nt
R88	mks
S1	ḥḏt,šmꜥs
S1A	ḥḏt,šmꜥs
S3	dšrt,n,bỉty
S5	sḫmty
S7	ḫprš
S8	ꜣtf
S9	šwty
S10	mḏḥ,wꜣḥw
S10A	mḏḥ,wꜣḥw
S11	wsḫ
S12	nbw
S13	nbỉ
S14	ḥḏ
S14A	ḏꜥm
S15	tḥn,ṯḥn,ṯḥnt
S19	sḏꜣw,sḏꜣwty,ḫtm,ḫtmty
S20	ḏbꜥt,sḏꜣwty,ḫtm,ḫtmty
S23	dmd,dmḏ
S24	ṯs,ṯst,ṯz,ꜣb
S27	mnḫt
S28	ḥꜣy,ḥbs,kfy
S29	s
S32	sỉꜣ,sỉꜣt
S33	ṯb,ṯbt
S34	ꜥnḫ
S35	sryt,šwt
S37	ḫw
S38	ḥḳꜣ,ḥḳꜣt
S39	ꜥwt
S40	ḏꜥm,wꜣb,wꜣs
S42	ꜥbꜣ,sḫm,ḫrp
S43	md,mdw
S44	ꜣms
S44A	ꜣms
S45	nḫꜣḫꜣ,nḫḫw
S57	nms,k,ỉbs
S123	sšm
T1	mn,mnw
T3	ḥḏ
T4	ḥḏ
T5	ḥḏ
T9	pd,pḏ,pḏt
T10	pḏ,pḏt
T11	sỉn,sšr,swn,sẖr,zỉn,zwn
T12	ꜣỉ,ꜣr,rwd,rwḏ
T13	rs
T14	ꜥm,nḥsỉ,ḳmꜣ,ṯḥnw
T18	šms
T19	gn,ḳrs,ḳs,twỉ,twr
T21	wꜥ
T22	sn,snw
T24	ꜥḥ,ỉḥ
T25	ḏbꜣ
T26	sḫt
T28	ẖr
T29	nmt
T30	dm,dmt,ds,šꜥd
T31	sšm
T36	ỉkm,ỉkmt
U1	mꜣ
U7	mr
U8	ḥn,ḥnn
U9	bdt,ḫꜣỉ
U10	ỉt
U13	hb,skꜣ,šnꜥ
U15	tm
U17	grg
U19	nw
U21	stp
U22	mnḫ
U23	ꜣb,mr
U24	ḥmt,ḥm,ḥmw
U26	wbꜣ
U28	ḏꜣ,wḏꜣ
U30	tꜣ
U31	ỉtḥ,rtḥ,rtḥtỉ,ḫnỉ,ḫnr
U32	dns,ḥmꜣt,smn,zmn
U33	tỉ,tỉt
U35	ḫsf
U36	ḥm,ḥmww
U37	ẖꜥḳ,mẖꜥk
U37A	ẖꜥḳ,mẖꜥḳ
U39	ṯs,wṯs,wṯst
U40	rs,ṯs,wṯs,wṯst
V1	100,šnt,št
V2	ꜣs,sṯꜣ
V4	wꜣ
V5	snṯ
V6	g,šs,šsr
V9	šnw
V10	šnw,rn
V11	dnỉ,pḫꜣ
V12	ꜥrḳ,fḫ,šfdw
V13	ṯ
V14	ṯ
V17	sꜣ
V19	mḏt,tmꜣ,ṯmꜣ,ẖꜣr
V20	10,mḏ,mḏw
V21	mḏ
V22	mḥ
V24	wd,wḏ
V25	wd,wḏ
V26	ꜥd,ꜥḏ,ꜥnḏ
V28	ḥ
V29	sk,wꜣḥ
V30	nb
V31A	k
V33	g,šs,sšr
V36	ḥn
V39	tỉt
W1	mrḥt
W3	ḥb,ḥbt
W5	ẖrỉḥbt
W7	ꜣb,ꜣbw,mꜣt,mꜣṯ
W9	ẖnm
W10	ꜥb,ḥnt,ỉꜥb,sḫw,wsḫ,ꜥ,ḥnw
W11	g,nst
W14	ḥs,ḥz
W15	ḳbb,ḳbḥ
W17	ḫnt
W19	mỉ
W20	ỉrtt,ỉrṯt
W22	ḥnḳt,wdpw
W23	ḳrḥt,wdpw
W24	nw
W25	ỉn,ỉnỉ
W54	wꜥb
X1	t
X2	ḏḥwty,ỉt,t
X3	ḏḥwty,ỉt,t
X4	fḳꜣ,sn,snw,zn
X5	sn,snỉ
X6	pꜣt
X8	d,dỉ,rdỉ
Y1	dmḏ,mḏꜣt
Y3	mnhd,nꜥꜥ,snꜥꜥ,sš,zš
Y5	mn
Y6	ỉbꜣ
Y8	sššt,sḫm,zššt
Z1	1
Z2	3
Z3	3
Z3A	3
Z4	y
Z5	ms
Z6	mwt
Z7	w
Z9	šbn,sḏ,swꜣ,wp,wr,ḫbs
Z11	ỉmỉ,wnm
Aa1	ḫ
Aa2	gꜣ,ḥsb,wḥꜣ,ẖpw
Aa3	ḥsb
Aa5	ḥp
Aa8	ḏꜣ,ḏꜣt,ḳn,spꜣt
Aa9	ḫwd
Aa11	mꜣꜥ
Aa15	gs,ỉm,m
Aa16	gs
Aa18	sꜣ,zꜣ
Aa19	ḥr
Aa20	ꜥpr
Aa21	sṯš,wḏꜥ
Aa22	wḏꜥ
Aa23	mḏd
Aa27	nḏ
Aa28	ḳd
Aa30	ẖkr
Aa32	stỉ
A1+B1+Z2	rmṯ
A1+D21	ỉ+r
A1+G39+Z1	ỉ+sꜣ
A1+N35	ỉ+n
A1+Z2	ỉ+w
A2+N35	wnm+n,swr+n
A2+Z2	wnm+w,swr+w
A24+A1	nḫt+ỉ
A24+X1+Z7	nḫt+t+w
B1+Z2	ỉ+w
D1+A1	tp+ỉ
D2+D21	ḥr+r
D21+A1	r+ỉ
D21+Aa1	r+ḫ
D21+D21	r+r
D21+D36	r+ꜥ
D21+D40	r+nḫt
D21+D46	r+d
D21+D54	r+ỉw
D21+I10+D46	r+ḏ+d
D21+I9	r+f
D21+M3+X1+Z1	r+ḫt+t
D21+N35	r+n
D21+Q3+Z7	r+p+w
D21+V13+A1+B1+Z2	r+ṯ+rmṯ
D21+V14	r+ṯ
D21+X1	r+t
D21+Y1	r+Y1
D21+Z1	r,rꜣ
D21+Z4	r+y
D21+Z7+N5	r+w+rꜥ
D21-Z7	r+w
D21:Z7	r+w
D36+Aa1	ꜥ+x
D36+D21	ꜥ+r
D36+D36	ꜥ+ꜥ
D36+D54	ꜥ+ỉw
D36+D58	ꜥ+b
D36+N29	ꜥ+ꜥ
D36+N35	ꜥ+n
D36+N37	ꜥ+š
D36+Q3	ꜥ+p
D36+V31A	ꜥ+k
D36+X1	ꜥ+t
D36+Y1	ꜥ+Y1
D37+A1	dỉ+ỉ
D37+D37	dỉ+dỉ
D37+X1	dỉ+t
D37+X1+Z7	dỉ+t+w
D4+D21+X1	ỉr+r+t
D4+N35	ỉr+n
D41+D40	mḥ+nḫt,rmn+nḫt
D41+G37	mḥ+nḏs,rmn+nḏs
D45+D21	ḏsr+r
D46+D41	d+mḥ,d+rmn
D46+D58	d+b
D46+N35	d+n
D46+W24+Z7	d+nw+w
D46+X1	d+t
D46+X1+Ff100	d+t
D46+X1+Z5	d+t
D46+X1+Z5+Ff100	d+t
D50+D50	ḏbꜥ+ḏbꜥ
D51+D40	ḏbꜥ+nḫt
D52+G17	mt+m
D52+X1	mt+t
D53+Y1	bꜣḥ+Y1
D58+N35	b+n
E34+N35	wn+n
E34+N35+N35	wn+n+n
F13+Q3	wp+p
F18+Y1	ḥw+Y1,bḥ+Y1
F21+N35	ỉdn+n
F22+X1+Z5	pḥ+t
F23+X1+Z1+I9	ḫpš+t+f
F26+N35	ẖn+n
F30+D46+Z7	šd+d+w
F32+D21+D46	ẖrd+r+d
F34+Z1	ỉb
F4+X1+Z1	ḥꜣ.t
F42+D21+D54	spr
F46+N35+O39	dbn+n+ỉnr
G1+D58	ꜣ+b
G14+X1+X1+B1	mwt+t+t+ỉ
G17+D21	m+r
G17+D36	m+ꜥ
G17+G17+D36	m+m+ꜥ
G17+X1	m+t
G17+X1+Z5	m+t
G17+Y1	m+Y1
G26+X1+Z4	ḏhwty+t+y
G29+V31A	bꜣk+k
G36+D21	wr+r
G36+X1+Z5	wr+t
G37+A1	nḏs+ỉ,šrỉ+ỉ
G37+B1	nḏs+ỉ,šrỉ+ỉ
G37+D21+X1	nḏs+r+t
G41+G1	pꜣ+ꜣ
G41+G37	pꜣ+nḏs
G43+X1	w+t
G43+X1+Y1+Z2	w+t+Y1+w
G47+G1	ṯꜣ+ꜣ
G5+M17	ḥr+ỉ
G7+S34+U29+S29	G7+ꜥnḫ+wḏꜣ+snb
I10+D46	ḏ+d
I10+D46+N35	ḏ+d+n
I9+D21	f+r
I9+Z4	f+y
K1+N35	ỉn+n
K5:D54	bs+iw
L1+D21	ḫpr+r
L1+N35	ḫpr+n
L1+Z2	ḫpr+w
M24	rs,rsỉ,rsw
M26	šmꜥ
M12+G1	ḫꜣ+ꜣ
M16+G1	ḥꜣ+ꜣ
M17+A2+Z4+D21+Z1+G17+D36	ỉrm
M17+G17+Aa13+D37	ỉmy,ỉ+m+m+dỉ
M17+M17	y,ỉ+ỉ
M17+Y5+N35	ỉmn,ỉ+mn+n
M17-W24:V31A	ỉnk,ỉ+nw+k
M17-W24:V31A-A1	ỉnk,ỉ+nw+k+ỉ
M17-W24:V31A:A1	ỉnk,ỉ+nw+k+ỉ
M2+N35	ḥn+n
M22+M22	nn
M22+M22+N35	nn,nn+n
M23+L2	nswt+bỉty
M23+X1+N35	nswt,sw+t+n
M23+Z7	sw+w
M24+Z4+N23	rsy,rsy+y+tꜣ
M3+X1+Z1	ḫt,ḫt+t
M3+Z2	ḫwt,ḫt+w
M35+U10	-
M36+D21	ḏr,ḏr+r
M4+X1+O50	rnpt,ḥsbt,rnp+t+zp
M40+X1+Z1+A1+Z2	ỉst,ỉs+t+rmṯ
M8+G1	šꜣ+ꜣ
M8+N23	šꜣ+tꜣ
M8+X1	ꜣḫt,šꜣ+t
M8+X1+N5	ꜣḫt,šꜣ+t+rꜥ
N35A	mw
N36	mỉ,mr
N11+Cc1	ꜣbd+1
N11+Cc2	ꜣbd+2
